"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"CD2007DHS.4","Congo Democratic Republic","CD2007DHS","Females",1997-01-29,"7-13",0.166421233674974,0.136756252670946,0.195066791021787
"CD2007DHS.5","Congo Democratic Republic","CD2007DHS","Males",2004-01-30,"0-6",0.242380583368391,0.208173278081847,0.275110116179498
"CD2007DHS.6","Congo Democratic Republic","CD2007DHS","Females",2004-01-30,"0-6",0.213790969961354,0.187511826199671,0.239220140247587
"CD2013DHS.1","Congo Democratic Republic","CD2013DHS","Males",1996-08-02,"14-20",0.185282160637523,0.147103305483225,0.221751987031053
"CD2013DHS.2","Congo Democratic Republic","CD2013DHS","Females",1996-08-02,"14-20",0.158624511622843,0.128529870827741,0.187679888564523
"CD2013DHS.3","Congo Democratic Republic","CD2013DHS","Males",2003-08-02,"7-13",0.170664927469207,0.148078552428767,0.192652486340713
"CD2013DHS.4","Congo Democratic Republic","CD2013DHS","Females",2003-08-02,"7-13",0.17021480560038,0.148053160182535,0.191799961377473
"CD2013DHS.5","Congo Democratic Republic","CD2013DHS","Males",2010-08-02,"0-6",0.191768327616793,0.172591447066481,0.210500744852896
"CD2013DHS.6","Congo Democratic Republic","CD2013DHS","Females",2010-08-02,"0-6",0.186289778918585,0.166857197067357,0.205269106854547
"CF1994DHS.1","Central African Republic","CF1994DHS","Males",1977-08-30,"14-20",0.278708426388775,0.053299921198627,0.450447353061103
"CF1994DHS.2","Central African Republic","CF1994DHS","Females",1977-08-30,"14-20",0.148687824819945,0.0849080242593864,0.208022320353921
"CF1994DHS.3","Central African Republic","CF1994DHS","Males",1984-08-29,"7-13",0.214657216298139,0.166328929444502,0.260183890630125
"CF1994DHS.4","Central African Republic","CF1994DHS","Females",1984-08-29,"7-13",0.186907258795985,0.137011411036809,0.233918253087287
"CF1994DHS.5","Central African Republic","CF1994DHS","Males",1991-08-30,"0-6",0.29353321154294,0.251388303667341,0.333305469794517
"CF1994DHS.6","Central African Republic","CF1994DHS","Females",1991-08-30,"0-6",0.291194256244109,0.258572265493089,0.322380915902116
"CG2005DHS.1","Congo","CG2005DHS","Males",1988-05-02,"14-20",0.248272517093155,0.166179480917096,0.322283158515945
"CG2005DHS.2","Congo","CG2005DHS","Females",1988-05-02,"14-20",0.16174003725066,0.0694782333815381,0.244854026680021
"CG2005DHS.3","Congo","CG2005DHS","Males",1995-05-02,"7-13",0.34422610545204,0.294273292241652,0.390643154009908
"CG2005DHS.4","Congo","CG2005DHS","Females",1995-05-02,"7-13",0.282970424179759,0.231819212299782,0.330715606491327
"CG2005DHS.5","Congo","CG2005DHS","Males",2002-05-02,"0-6",0.25421115750397,0.225227842131097,0.282110241130166
"CG2005DHS.6","Congo","CG2005DHS","Females",2002-05-02,"0-6",0.228000471563317,0.201312881933903,0.253796313443059
"CG2011DHS.1","Congo","CG2011DHS","Males",1994-08-02,"14-20",0.216199488565904,0.160462623215106,0.268235984826489
"CG2011DHS.2","Congo","CG2011DHS","Females",1994-08-02,"14-20",0.301334565049434,0.185305550439235,0.400838694484987
"CG2011DHS.3","Congo","CG2011DHS","Males",2001-08-01,"7-13",0.217857891819009,0.183570355581889,0.250705456897255
"CG2011DHS.4","Congo","CG2011DHS","Females",2001-08-01,"7-13",0.238951576484619,0.199642200638204,0.27633028203499
