"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"NP2006DHS.2","Nepal","NP2006DHS","Females",2004-01-30,"0-4",0.0770859198081798,0.0604914807004712,0.0933872531018989
"NP2016DHS.1","Nepal","NP2016DHS","Males",2014-07-02,"0-4",0.0848110025460872,0.0698106522852758,0.0995694552744232
"NP2016DHS.2","Nepal","NP2016DHS","Females",2014-07-02,"0-4",0.0734249606628925,0.0591469902684274,0.0874862548747056
"PE1992DHS.1","Peru","PE1992DHS","Males",1989-08-30,"0-4",0.102750255355655,0.0889751523280707,0.116317072666439
"PE1992DHS.2","Peru","PE1992DHS","Females",1989-08-30,"0-4",0.0681097939789914,0.0576346753816748,0.0784684735406587
"PE1996DHS.1","Peru","PE1996DHS","Males",1994-05-02,"0-4",0.0990209772363249,0.0880513674056048,0.109858636279975
"PE1996DHS.2","Peru","PE1996DHS","Females",1994-05-02,"0-4",0.0675732723875753,0.0581586021446197,0.0768938333505763
"PE2000DHS.1","Peru","PE2000DHS","Males",1998-05-02,"0-4",0.0730138068313604,0.0647632152400063,0.0811916122976213
"PE2000DHS.2","Peru","PE2000DHS","Females",1998-05-02,"0-4",0.0425676245478094,0.0358728944717559,0.0492158675885599
"PE2004DHS.1","Peru","PE2004DHS","Males",2004-05-31,"0-4",0.067030832453113,0.0603255255272478,0.073688291808153
"PE2004DHS.2","Peru","PE2004DHS","Females",2004-05-31,"0-4",0.046092051203159,0.0395851194894653,0.0525548976353916
"PE2007DHS.1","Peru","PE2007DHS","Males",2006-04-01,"0-4",0.067030832453113,0.0603255255272478,0.073688291808153
